Chapter,Name,Alignment,Size,Ancestry,Type,Tag,Level,Role,XP,Initiative,Perception,Senses,Aura,HP,Staggered,HP Extras,AC,Fort,Ref,Will,Immunity to,Resistance to,Vulnerability to,Saving Throws,Spd,Action Points,Power 1 - Type,Power 1 - Name,Power 1 - Action,Power 1 - Frequency,Power 1 - Tags,Power 1 - Attack,Power 1 - Effect,Power 1 - Secondary Attack,Power 2 - Type,Power 2 - Name,Power 2 - Action,Power 2 - Frequency,Power 2 - Tags,Power 2 - Attack,Power 2 - Effect,Power 2 - Secondary Attack,Power 3 - Type,Power 3 - Name,Power 3 - Action,Power 3 - Frequency,Power 3 - Tags,Power 3 - Attack,Power 3 - Effect,Power 3 - Secondary Attack,Power 4 - Type,Power 4 - Name,Power 4 - Action,Power 4 - Frequency,Power 4 - Tags,Power 4 - Attack,Power 4 - Effect,Power 4 - Secondary Attack,Power 5 - Type,Power 5 - Name,Power 5 - Action,Power 5 - Frequency,Power 5 - Tags,Power 5 - Attack,Power 5 - Effect,Power 5 - Secondary Attack,Power 6 - Type,Power 6 - Name,Power 6 - Action,Power 6 - Frequency,Power 6 - Tags,Power 6 - Attack,Power 6 - Effect,Power 6 - Secondary Attack,Power 7 - Type,Power 7 - Name,Power 7 - Action,Power 7 - Frequency,Power 7 - Tags,Power 7 - Attack,Power 7 - Effect,Power 7 - Secondary Attack,Power 8 - Type,Power 8 - Name,Power 8 - Action,Power 8 - Frequency,Power 8 - Tags,Power 8 - Attack,Power 8 - Effect,Power 8 - Secondary Attack,Power 9 - Type,Power 9 - Name,Power 9 - Action,Power 9 - Frequency,Power 9 - Tags,Power 9 - Attack,Power 9 - Effect,Power 9 - Secondary Attack,Power 10 - Type,Power 10 - Name,Power 10 - Action,Power 10 - Frequency,Power 10 - Tags,Power 10 - Attack,Power 10 - Effect,Power 10 - Secondary Attack,Language,Skills,Str,Con,Dex,Int,Wis,Cha,Equipment,Description,Str mod,Con mod,Dex mod,Int mod,Wis mod,Cha mod
Summons,Boar Demon (Nalfeshnee),,Large,Outsider,Humanoid,Demon,19,Summoned Creature,,,,darkvision,,your staggered value,,can use your recoveries,your defenses,,,,,,,,"5, fly 8",,Basic Melee,Musky Claw,standard,at-will,,your level +4 vs. AC,1d10 + Charisma modifier damage.,,Near,Accursed Blast,standard,encounter,"Necrotic, Lightning",Near arc 2; your level +4 vs. Reflex,1d8 + Charisma modifier necrotic and lightning damage and the target is weakened until the end of your next turn.,,,Horror Nimbus,immediate (react),encounter,,,"When the boar demon is reduced to 0 HP or below, it is destroyed. *Secondary Attack:* Near burst 2; your level +4 vs. Reflex; the target is pushed 2 and dazed (save ends)",,,Instinct,,,,,"At the end of your turn, if the boar demon has not received a command that turn, it falls to 0 HP and triggers *horror nimbus*.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+4,+4,+4,+4,+4,+4
Summons,Frenzy Demon,,Medium,Outsider,Humanoid,Demon,19,Summoned Creature,,,,darkvision,"*Aura of Frustration aura 3:* Each time a creature within the aura misses on an attack roll, the frenzy demon gets a +2 bonus to its next attack roll. ",your staggered value,,can use your recoveries,your defenses,,,,,,,,8,,Basic Melee,Claw,standard,at-will,,your level vs. AC,1d12 + Charisma modifier damage.,,Melee,Raking Claws,standard,at-will,,your level vs. AC,2d12 + Charisma modifier damage.,,,Instinct,,,,,"At the end of your turn, if the frenzy demon has not received a command that turn, it moves towards the nearest creature and uses *raking claws*.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+4,+4,+4,+4,+4,+4
Summons,Pincer Demon (Glabrezu),,Huge,Outsider,Humanoid,Demon,19,Summoned Creature,,,,darkvision,,your staggered value,,can use your recoveries,your defenses,,,,,,,,6,,Basic Melee,Pincer,standard,at-will,,your level +6 vs. AC,2d8 + Charisma modifier damage.,,Far,Chaos Hammer,standard,at-will,Force,your level +4 vs. Fortitude,1d10 + Charisma modifier force damage and the target falls prone.,,,Instinct,,,,,"At the end of your turn, if the pincer demon has not received a command that turn, it uses *chaos hammer* centered on you, if possible. Otherwise, it moves towards the nearest creature and uses *pincer*.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+4,+4,+4,+4,+4,+4
Summons,Laughing Demon,,Large,Outsider,Humanoid,Demon,25,Summoned Creature,,,,darkvision,*Aura of Mockery aura 3:* A creature within the aura that fails a saving throw takes 15 damage.,your staggered value,,can use your recoveries,your defenses,,,,,,,,8,,Basic Melee,Tooth and Claw,standard,at-will,,your level +6 vs. AC,"2d8 + Charisma modifier damage, and a creature adjacent to the target takes 1d8 + Charisma modifier damage.",,Melee,Tooth and Claw and Stomp,standard,at-will,,,Make two *tooth and claw* attacks.,,,Instinct,,,,,"At the end of your turn, if the laughing demon has not received a command that turn, it teleports to an unoccupied square adjacent to a random creature within 20, and uses *tooth and claw and stomp*. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+7,+7,+7,+7,+7,+7
Summons,Balor,,Large,Outsider,Humanoid,"Demon, Fire",29,Summoned Creature,,,,"darkvision, trueseeing",*Aura of Flame (Fire) aura 2:* A creature that enters or begins its turn in the aura takes 20 fire damage.,your staggered value,,can use your recoveries,your defenses +2,,,,,"fire 15, necrotic 15",cold 15,,"6, fly 12",,Basic Melee,Longsword,standard,at-will,"Fire, Necrotic, Weapon",Reach 2; your level +6 vs. AC,2d12 + Charisma modifier fire and necrotic damage.,,Melee,Flame Whip,minor,at-will,Fire,Reach 3; your level +4 vs. Reflex,The target is knocked prone and pulled 3.,,,Lifedrinker,free,at-will,Healing,,"If a creature is killed within the balor's aura, the balor's summoner regains a recovery and the balor heals equal to your recovery value.",,,Fallen Angel's Reckoning,immediate (react),,Radiant,,"When the balor is reduced to 0 HP or below, it is destroyed. All creatures within 5 take 2d12 + your Charisma modifier radiant damage. ",,,Instinct,,,,,"At the end of your turn, if the balor has not received a command that turn, it moves so the nearest creature is in range of its *flame whip*, then uses the *flame whip* and *longsword*.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+9,+9,+9,+9,+9,+9
Summons,Marilith,,Large,Outsider,Humanoid,Demon,29,Summoned Creature,,,,darkvision,*Wall of Steel aura 2:* A creature that leaves the aura takes 15 damage.,your staggered value,,can use your recoveries,your defenses +2,,,,,,,,8,,Basic Melee,Sword,standard,at-will,Weapon,Reach 2; your level +6 vs. AC,2d8 + Charisma modifier damage.,,Melee,Three Whirling Swords,standard,at-will,Weapon,,"Make three *sword* attacks, each against a different target. Shift 1 between attacks.",,,Terrible Swift Swords,free,encounter,,,"For the rest of this turn, all attacks you make score a critical hit on a natural 15-20.",,,Beguiling Gaze,standard,at-will,"Psychic, Charm",Ranged 10; your level +4 vs. Will,Pull the target 6.,,,Instinct,,,,,"At the end of your turn, if the marilith has not received a command that turn, it uses *three whirling swords* against an adjacent target. If there is no such target, it uses *beguiling gaze*. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+9,+9,+9,+9,+9,+9
Animal Companions,# Animal Companions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animal Companions,Ape/Yeti,,Medium,Natural,Beast,,,Animal Companion,,,,low-light vision,,your staggered value,,can use your recoveries,14 + your level,10 + your level,12 + your level,14 + your level,,,,,"5, climb 5",,Basic Melee,Fist,standard,at-will,,your level +4,1d8 + your level damage.,,Basic Ranged,Stone,standard,at-will,Weapon,Ranged 5/10; your level +4,1d8 + your level damage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Athletics +8 + half your level, Intimidate +5 + half your level",16,12,14,2,14,10,,,,,,,,
Animal Companions,Arboreal Sapling/Wood Golem,Wood Golem,Small,Natural,Automaton,,,Animal Companion,,,,low-light vision,,your staggered value,,can use your recoveries,13 + your level,14 + your level,10 + your level,11 + your level,,,,,5,,Basic Melee,Branch,standard,at-will,Weapon,+3 + your level,1d10 + your level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nature +7 + half your level,16,12,14,2,14,10,,,,,,,,
Animal Companions,Bear/Giant Badger/Wolverine/Owlbear,"Giant Badger, Wolverine, Owlbear",Medium,Natural,Beast,,,Animal Companion,,,,low-light vision,,your staggered value,,can use your recoveries,14 + your level,12 + your level,10 + your level,12 + your level,,,,,5,,Basic Melee,Bite,standard,at-will,,+2 + your level,1d12 + your level,,,Sturdy,,,,,The animal companion starts each battle with temporary hit points equal to double its level.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Endure +7 + half your level, Intimidate +5 + half your level",16,14,14,2,12,10,,,,,,,,
Animal Companions,Blink Dog,,Medium,Fey,Beast,,,Animal Companion,,,,low-light vision,,your staggered value,,can use your recoveries,14 + your level,10 + your level,14 + your level,10 + your level,,,,,"6, teleport 3",,Basic Melee,Bite,standard,at-will,,+4 + your level,1d8 + your level,,,Jolt Back,,,,,"After the animal companion is hit by an attack, and the attack is fully resolved, it can teleport 2.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stealth +7 + half your level,14,16,14,2,12,10,,,,,,,,
Animal Companions,Boar/Buffalo/Bull/Yak,"Buffalo, Bull, Yak",Medium,Natural,Beast,,,Animal Companion,,,,low-light vision,,your staggered value,,can use your recoveries,14 + your level,14 + your level,10 + your level,10 + your level,,,,,6,,Basic Melee,Tusk,standard,at-will,,+4 + your level,1d8 + your level,,,Eager to Fight,,,,,+1 attack bonus on a charge.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Endure +6 + half your level, Nature +7 + half your level",16,12,14,2,14,10,,,,,,,,
Animal Companions,Giant Bat,,Small,Natural,Beast,,,Animal Companion,,,,"darkvision, blindsight 6",,your staggered value,,can use your recoveries,14 + your level,10 + your level,14 + your level,12 + your level,,,,,"2, fly 6",,Basic Melee,Bite,standard,at-will,,+4 + your level,1d6 + your level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,16,12,2,14,10,,,,,,,,
Animal Companions,"Giant Bird of Prey (Hawk, Eagle, Owl, Vulture, Falcon)",,Small,Natural,Beast,,,Animal Companion,,,,low-light vision,,your staggered value,,can use your recoveries,14 + your level,10 + your level,14 + your level,12 + your level,,,,,"2, fly 8",,Basic Melee,Claw,standard,at-will,,+4 + your level,1d6 + your level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Perception +7 + half your level, Stealth +6 + half your level",14,16,12,2,14,10,,,,,,,,
Animal Companions,"Giant Lizard (Cave Gecko, Giant Anole, Giant Iguana)",,Medium,Natural,Beast,,,Animal Companion,,,,darkvision,,your staggered value,,can use your recoveries,14 + your level,12 + your level,14 + your level,10 + your level,,,,,"5, climb 5",,Basic Melee,Bite,standard,at-will,,+3 + your level,1d8 + your level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Athletics +7 + half your level, Stealth +6 + half your level",14,16,12,2,14,10,,,,,,,,
Animal Companions,Giant Snake/Giant Spider/Giant Toad,,Medium,Natural,Beast,,,Animal Companion,,,,low-light vision,,your staggered value,,can use your recoveries,12 + your level,10 + your level,14 + your level,12 + your level,,,,,"5, swim 5",,Basic Melee,Bite,standard,at-will,,+3 + your level,1d8 + your level,,,Venomous Snap,,,,,The animal companion's opportunity attacks also do 2 persistent poison damage (save ends). *Level 11:* 4 persistent poison damage. *Level 21:* 6 persistent poison damage. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stealth +6 + half your level,16,16,12,2,12,10,,,,,,,,
Animal Companions,Giant Spider/Chameleon,,Medium,Natural,Beast,,,Animal Companion,,,,darkvision,,your staggered value,,can use your recoveries,14 + your level,12 + your level,14 + your level,10 + your level,,,,,"5, climb 5",,Basic Melee,Bite,standard,at-will,,+3 + your level,1d8 + your level,,Melee,Sticky Thread,standard,encounter,,Reach 2; +3 + your level,1d8 + your level and pull 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Athletics +7 + half your level, Stealth +6 + half your level",14,16,12,2,14,10,,,,,,,,
Animal Companions,Horse/Camel/Llama,,Large,Natural,Beast,,,Animal Companion,,,,,,your staggered value,,can use your recoveries,14 + your level,14 + your level,10 + your level,10 + your level,,,,,6,,Basic Melee,Hoof,standard,at-will,,+4 + your level,1d10 + your level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Endure +6 + half your level,16,12,14,2,14,10,,,,,,,,
Animal Companions,Hound/Coyote/Jackal/Hyena/Wolf,,Medium,Natural,Beast,,,Animal Companion,,,,low-light vision,,your staggered value,,can use your recoveries,12 + your level,12 + your level,12 + your level,12 + your level,,,,,8,,Basic Melee,Bite,standard,at-will,,+3 + your level,1d8 + your level,,,Combat Advantage,,,,,The animal companion does +2 damage when it has combat advantage against the target. *Level 11:* +4. *Level 21:* +6.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Endure +8 + half your level, Nature +6 + half your level",14,16,14,2,12,10,,,,,,,,
Animal Companions,Panther/Tiger/Lion,,Medium,Natural,Beast,,,Animal Companion,,,,low-light vision,,your staggered value,,can use your recoveries,14 + your level,10 + your level,14 + your level,10 + your level,,,,,7,,Basic Melee,Bite,standard,at-will,,+4 + your level,1d6 + your level,,,Greased Lightning,,,,,"On the first round of battle, the animal companion has combat advantage against any creature that has not yet acted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Athletics +7 + half your level, Stealth +6 + half your level",14,16,12,2,14,10,,,,,,,,
