Name,Flavor,Category,Frequency,Tier,List,Tags,Action,Range,Range Details,Requirement,Trigger,Attack,Defence,Hit,Miss,Effect,Special,Maintain,Boost
Force Sphere,,Utility,Daily,26,Agent Retriever,"Arcane, Force, Zone",Immediate (Counter),Near ,burst X,,,,,,,Create a sphere of force in a near burst between 1 and 5 squares in radius (your choice). The sphere is impenetrable by any means. ,,Swift,
,,,,,,,,,,,,,,,,,,,
Prince of Shadows,,,,,,,,,,,,,,,,,,,
Just Desserts,You show a foe that two can play at that game. ,Attack,Encounter,11,Prince of Shadows,"Shadow, Weapon",Immediate (React),Melee or Ranged,"weapon, one target",,The target imposes a condition or persistent damage on you or an ally.,Dexterity,AC,2dW + Dexterity modifier and the target suffers the condition or persistent damage that they imposed. ,,,,,
Out of Mind,You slip out of view and appear somewhere totally different.,Utility,Daily,16,Prince of Shadows,"Shadow, Teleport",Swift,Self,,,,,,,,"You teleport 20, but must choose a square that no other creature can see (you need not be able to see it). You are incorporeal and have phasing until the end of your next turn. ",,,
Cloak Abduction,You sweep someone up in your cloak.,Attack,Daily,20,Prince of Shadows,"Shadow, Teleport",Standard,Near,"burst 1, one target",,,Dexterity,AC,"The creature is transported to an extradimensional space and cannot act (save ends). On a successful save, it appears in an unoccupied space adjacent to you. 
*Optional:* The creature takes 2dW + Dexterity modifier damage at the start of each turn it spends in the extradimensional space.","The creature is transported to the extradimensional space only till the end of your next turn, and it takes no damage. ",,,,
,,,,,,,,,,,,,,,,,,,
Veiled Moon,,,,,,,,,,,,,,,,,,,
Dimensional Strike,"By shifting slightly between two worlds, you confuse the senses of your foe so you may land your attack more easily. ",Attack,At-Will,1,Veiled Moon,"Shadow, Weapon",Standard,Melee or Ranged,"weapon, one target",,,Intelligence,Reflex,"1dW + Intelligence modifier damage. 
*Level 21:* 2dW + Intelligence modifier damage.",,,,,
Disturbing Blow,"By establishing counter-resonance within the spirit of an enemy with a well-placed blow, you may disrupt and disturb its next action.",Attack,Encounter,1,Veiled Moon,"Shadow, Weapon",Standard,Melee,"weapon, one target",,,Intelligence,AC,"1dW + Intelligence modifier damage. The creature grants combat advantage until the end of your next turn or until it is next attacked, whichever occurs sooner.",,,,,
Cursed Fate,"You can befuddle and bewilder your opponent with this strike, causing a grave imbalance in the psyche of the victim.",Attack,Daily,1,Veiled Moon,"Shadow, Weapon",Standard,Melee or Ranged,"weapon, one target",,,Intelligence,Will,2dW + Intelligence modifier damage and the target grants combat advantage until the end of your next turn.,"1dW + Intelligence modifier damage and the creature grants combat advantage until the end of your next turn or until it is next attacked, whichever occurs sooner.",,,,
Ghost Hunting Blow,"By reaching across the barrier between worlds, you may strike at disembodied spirits as easily you would strike a normal mortal.",Utility,Encounter,2,Veiled Moon,"Shadow, Stance",Swift,Self,,,,,,,,"Your attacks do force damage as well as any other type of damage, and they do damage against incorporeal targets as if the targets were not incorporeal. ",,,
Inner Sense,"By sensing ripples in the spiritual world around him, you are capable of better avoiding dangerous effects and situations.",Utility,Encounter,2,Veiled Moon,Shadow,Free,Self,,,You make a saving throw.,,,,,Add +2 to the result. ,You can use this power after seeing the result of your roll.,,
Spirit Sensing Stance,"By sensing the different patterns all beings that exist have, your senses exceed that of natural beings and move into the realm of supernatural awareness.",Utility,Daily,2,Veiled Moon,"Shadow, Stance",Swift,Self,,,,,,,,"You know the location to the nearest square of all creatures within 6 squares of you, even if they are hiding, incorporeal or invisible.",,,
Leaping Spirit Dance,"Light as a feather, you move gracefully in combat, with the smooth and practiced grace of an incorporeal being.",Utility,Daily,2,Veiled Moon,"Shadow, Stance",Swift,Self,,,,,,,,"You receive a +2 power bonus to AC and Reflex. If you end any turn without having moved at least 2 squares, this stance ends.",,,
Resonance Strike,"By funneling your spiritual power into your attack, you may strike an opponent with glowing silvery light.",Attack,Daily,5,Veiled Moon,"Shadow, Weapon",Standard,Near burst,"10, one enemy in range",,,Intelligence,Reflex,3dW + Intelligence modifier force damage,Half damage.,,,,
Fading Strike,You learn the basic technique for walking between worlds to reach locations that previously could be inaccessible on the mortal world and potentially attack foes at those locales.,Utility,Encounter,6,Veiled Moon,"Shadow, Teleport",Move,Self,,,,,,,,Teleport 6,,,
Half-Gone,"By momentarily slipping through the barrier between the Material and the Astral planes, you may attempt to avoid an attack by being incorporeal.",Utility,Encounter,6,Veiled Moon,Shadow,Immediate (Counter),Self,,,You are hit by an attack.,,,,,"You are incorporeal for the purpose of this attack (typically, you take half damage from the attack). ",,,
Altered Penumbra,"Position is relative to your thinking, and your position in the universe is mutable. Using these principles, you may circumvent reality to remove yourself from harm's way when necessary.",Utility,Daily,6,Veiled Moon,"Shadow, Conjuration, Teleport",Immediate (Counter),Self,,,You are the target of an attack.,,,,,Teleport 2. In your space is conjured an immovable illusion of yourself. The conjuration disappears once it is hit by a Melee or Ranged attack (potentially including the attack that triggered the use of this power).,"If the teleportation does not move you outside the range of a Near or Far attack, you are still subject to that attack.",Move,
Brilliant Moon,"By partially phasing a portion of your attack out of this reality, you may ignore certain obstacles, such as armor, when striking at an opponent.",Attack,Encounter,7,Veiled Moon,"Shadow, Weapon",Standard,Melee or Ranged,"weapon, one target",,,Intelligence,Reflex,2dW + Intelligence modifier force damage.,,,,,
Breath of the Moon,You use the principles of lunar cycles on the psyche of mortals.,Attack,Daily,9,Veiled Moon,"Shadow, Weapon",Standard,Near arc,3,,,Intelligence,Will,"2dW + Intelligence modifier psychic damage, and the target cannot target you with attacks (save ends).",Target cannot target you with attacks until the end of your next turn.,,,,
Formless Dance,"You immerse yourself in a sort of dimensional flux, causing you to be able to see what cannot be perceived and seemingly be in many places at once.",Utility,Encounter,10,Veiled Moon,"Shadow, Stance",Swift,Self,,,,,,,,You have concealment and truesight 6.,,,
Ghostwalk,"You step through to the borderland between the Material and the Ethereal planes, becoming an incorporeal figure in both realities for a few moments.",Utility,Encounter,10,Veiled Moon,Shadow,Swift,Self,,,,,,You become incorporeal until the end of your next turn.,,,,,
Ethereal Reminiscence,"The ectoplasmic nature of beings on the Ethereal plane allows you to briefly transport yourself to that realm and use your will to restore some of your form by filling your wounds with spectral energies, displacing your injuries.",Utility,Daily,10,Veiled Moon,Shadow,Standard,Self,,,,,,You become incorporeal until the end of your next turn. Spend a recovery and heal your recovery value.,,,,,
Fading Leap,"With nary a thought and a gesture you may flow like moonlight from one location to another through the Astral plane, moving faster than your earthly body would allow.",Utility,Encounter,10,Veiled Moon,"Shadow, Teleport",Swift,Self,,,,,,,,Teleport 6,,,
Flicker Strike,"In a flickering blur of teleportation and movement, you disappear, blink into existence to strike a foe, and then disappear again to appear a safe distance away.",Attack,Encounter,13,Veiled Moon,"Shadow, Weapon, Teleport",Standard,Self,,,,,,,,"Teleport 6.
*Secondary Attack:* Intelligence vs AC. 2dW + Intelligence modifier damage on a hit, and you can teleport 6.",,,
Essence Shattering Strike,"With a powerful strike, you attack the very spirit of his foe with your silver-blue light.",Attack,Daily,15,Veiled Moon,"Shadow, Weapon",Standard,Melee or Ranged,"weapon, one target",,,Intelligence,Fortitude,3dW + Intelligence modifier damage and the target is dazed (save ends).,Half damage.,,,,
Stance of the Ether Gate,"By shifting your essence partially into the Astral plane, you find that moving through that plane as just as easy as moving through the material plane. ",Utility,Daily,16,Veiled Moon,"Shadow, Stance, Teleport",Swift,Self,,,,,,,,"As a move action, you can teleport 6.",,,
Twisting Ether,"With a nod to your ally, you sink through the world with your ally and switch places for better effect in combat.",Utility,Encounter,16,Veiled Moon,"Shadow, Teleport",Swift,Near burst 5,one ally,,,,,,,You and your ally simultaneously swap spaces via teleportation.,,,
Warp Worm,"By creating temporary breaches between the worlds of the Material and the Astral, you may teleport through a few enemies and emerge from the space between worlds having done your foes great internal harm.",Attack,Daily,19,Veiled Moon,"Shadow, Weapon, Teleport",Standard,Melee,"touch, one target",,,Intelligence,AC,"3dW + Intelligence modifier damage, and teleport 4.","Half damage, and teleport 2.","*Secondary Attack:* Intelligence vs AC. 2d8 + Intelligence modifier damage, and teleport 4 on a hit (no damage, teleport 2 on miss). 
*Secondary Attack:* Intelligence vs AC. 1d8 + Intelligence modifier damage, and teleport 4 on a hit (no damage, teleport 2 on miss).
Each secondary attack must be against a different target to the other secondary attack, and to the primary attack.",,,
Ether Wave,"You concentrate your spiritual energies to your hand, tear into the barrier between the Astral and the Material, and release the energies that form from this in a wracking wave of silvery-blue energy.",Attack,Daily,19,Veiled Moon,"Shadow, Weapon",Standard,Near arc,4,,,Intelligence,Reflex,"3dW + Intelligence modifier force damage, and persistent 5 force damage (save ends).",Half damage (no persistent damage).,,,,
Phantom Penumbra ,"To slip through the worlds is a simple matter for you, and using this to deceive and evade an attacker is effortlessly done.",Utility,Daily,22,Veiled Moon,"Shadow, Illusion",Swift,Self,,,,,,,,"A number of times equal to the number of recoveries you have spent so far since your last long rest, you can force enemies within 6 to reroll an attack roll. You can only force each attack roll to be rerolled once.",,Swift,
Spiritual Weapon Stance,"By channeling ethereal energies along your weapons and his body, you become immersed in both worlds, being as solid on the Ethereal Plane as you are on the Material.",Utility,Daily,22,Veiled Moon,"Shadow, Stance",Swift,Self,,,,,,,,Your attacks do persistent 5 force damage (save ends). ,,,
Fade Through,You fold two points in space around you to appear at another location within the span of a heart beat.,Utility,Daily,22,Veiled Moon,"Shadow, Teleport",Standard,Self,,,,,,,,"Move up to your speed, with phasing. Make a basic melee attack against each enemy that you move through.",,,
Anchoring Spirit,"You pull yourself fully into the Ethereal and manifests a ghostly apparition of your form upon the Material, and in doing so you lock your immediate area for travel through the Ethereal or Astral plane.",Utility,Daily,22,Veiled Moon,"Shadow, Stance",Swift,Self,,,,,,,,You become incorporeal. Enemies within 12 cannot choose to teleport. Allies within 12 can always choose not to teleport if they would be subject to an effect that would teleport them.,,,
Lunar Penumbra,"It is said that the moon is portrayed in some legends as a laughing trickster, and with this powerful ability, you pull an incredible trick upon your foe.",Utility,Daily,22,Veiled Moon,"Shadow, Teleport",Immediate (Counter),Self,,,You are the target of an attack.,,,,,You and the attacker swap places via teleportation. The attacker now becomes the target of their own attack.,,,
Dispersal Strike,"With a powerful strike and flash of silver-blue light, you slam your foe directly into the Ethereal for a few moments, causing it to become ghostly and unreal.",Attack,Daily,25,Veiled Moon,"Shadow, Weapon",Standard,Melee or Ranged,"weapon, one target",,,Intelligence,AC,4dW + Intelligence modifier damage.,Half damage.,"The target becomes incorporeal (save ends). While incorporeal, their attacks behave as if all targets had the incorporeal property (in most cases, this means they do half damage).",,,
Flashing Ether Touch,With but a touch you send a foe hurtling through the Astral to reappear with frightening velocity to hit the ground.,Attack,Daily,25,Veiled Moon,"Shadow, Weapon, Teleport",Standard,Melee,"touch, one target",,,Intelligence,Will,The target disappears until the beginning of your next turn. Then they appear in the space 12 squares above the space that they disappeared from. ,,The target appears in the space 6 squares above the space that they disappeared from. ,,,
Eclipsing Moon,"Folding space around your form effortlessly, you leap through the ether and attack through the barrier between the worlds in a series of staccato bursts of silvery-blue light, your image blinking as you strike.",Attack,Daily,29,Veiled Moon,"Shadow, Weapon, Teleport",Standard,Near burst,"12, all enemies",,,Intelligence,Reflex,2dW + Intelligence modifier damage.,,"After all attacks had been made, choose a space adjacent to an enemy within range. You teleport to that space.",,,
Banish to the Beyond,You lay a mark against a target and shunt it gently into the Astral plane where it may ponder its reasons for crossing the likes of a master.,Attack,Daily,29,Veiled Moon,"Shadow, Weapon, Teleport",Standard,Melee,"touch, one target",,,Intelligence,Will,"4dW + Intelligence modifier force damage. If the target's current hit points are lower than yours, they are transported to the Astral Plane indefinitely. Otherwise, they are transported to the Astral Plane (save ends).",Half damage.,,,,
,,,,,,,,,,,,,,,,,,,
Mageblade,,,,,,,,,,,,,,,,,,,
Mageblade's Sigil,,Utility,At-Will,1,Mageblade,Arcane,Swift,Near burst,"2, one target",,,,,,,The target is marked until you use this power again. ,,,
Beacon Sigil,,Utility,At-Will,1,Mageblade,"Arcane, Weapon, Teleport",Immediate (React),Near burst,"5, the triggering enemy",,A creature marked by your *sigil* makes an attack that does not include you as a target,,,,,Teleport to an unoccupied square adjacent to the target and make a basic melee attack against them.,,,
Blurring Sigil,,Utility,At-Will,1,Mageblade,"Arcane, Weapon",Immediate (Counter),Near burst,"10, the triggering enemy",,A creature marked by your *sigil* makes an attack that does not include you as a target,,,,,"Any one target of the triggering creature's attack gains resistance to all damage equal to your level + your Constitution modifier, until the end of the current turn.",,,
Fiery Sigil,,Utility,At-Will,1,Mageblade,"Arcane, Weapon, Fire",Immediate (React),Near burst,"10, the triggering enemy",,A creature marked by your *sigil* makes an attack that does not include you as a target,,,,,The triggering creature takes 1d6 + your Charisma modifier fire damage. *Level 11:* 2d6 + your Charisma modifier damage. *Level 21:* 3d6 + your Charisma modifier damage. ,,,
Vortex Sigil,,Utility,At-Will,1,Mageblade,"Arcane, Weapon, Teleport",Immediate (Counter),Near burst,"5, the triggering enemy",,A creature marked by your *sigil* attempts to make an attack that does not include you as a target,,,,,"The triggering creature teleports to an unoccupied square adjacent to you. If it now arranges the attack so that it includes you as a target, the attack goes ahead. Otherwise it misses all targets.",,,
,,,,,,,,,,,,,,,,,,,
Elemental Flux,,,,,,,,,,,,,,,,,,,
Spark Strike,"By letting the power of the elements flow through you and into your attack, you’re able to strike true with raw primal energies at your unlucky foe.",Attack,Encounter,1,Elemental Flux,"Flux, Arcane, Weapon",Standard,Melee or Ranged,"weapon, one target",,,Intelligence,AC,2dW + Intelligence modifier [flux] damage.,,,,,
Variable Flux,"Filling your weapon with the power of the elements, you lash out with barely-contained eldritch power.",Attack,Daily,1,Elemental Flux,"Flux, Arcane, Weapon",Standard,Melee or Ranged,"weapon, one target",,,Intelligence,AC,"1dW + Intelligence modifier [flux] damage, and the target is subject to one of the following until the end of your next turn.
* Lightning: -2 penalty on Ranged attack rolls.
* Acid: Slowed.
* Fire: Persistent fire damage equal to your Constitution modifier.
* Cold: Vulnerability to lightning and cold 5.
* Thunder: Dazed.",Half damage.,,,,
Energy Jolt,"You fill the opponent with harmful elemental energy, dealing damage and causing them to suffer debilitating effects.",Attack,At-Will,1,Elemental Flux,"Flux, Arcane, Weapon",Standard,Near,"burst 3, one target",,,Intelligence,Reflex,"1dW + Intelligence modifier [flux] damage, and the target:
* Air: Is pulled 2.
* Acid: Takes a -2 penalty to AC until the end of your next turn.
* Fire: Loses their next move action.
* Cold: Is shunted 1.
* Thunder: Is pushed 2.",,,,,
Eldritch Shield,"By drawing upon the elements, you are capable of defending against energy effects.",Utility,Encounter,2,Elemental Flux,"Arcane, Flux",Immediate (Counter),Self,,,You are about to take damage.,,,,,"You gain resistance to [flux] 5 + your Constitution modifier, for that attack.",,,
Elemental Nimbus,Channeling the strength of the elements lends your attacks strength and fury. ,Utility,Daily,2,Elemental Flux,"Arcane, Flux",Swift,Self,,,,,,,,"Each attack that hits does +1d6 [flux] damage. You can choose to daze a target that you hit until the end of your next turn, but then this power ends.",,Swift,
Elemental Realignment,,Utility,Daily,2,Elemental Flux,"Arcane, Flux",Swift,Self,,,,,,,,Change your Flux energy. You gain resistance to [flux] 5 + your Constitution modifier until the end of the encounter. ,,,
Fluctuation Movement,"Coating your feet in the power of the elements, you alter your movement to grant you a burst of speed and maneuverability. ",Utility,Encounter,2,Elemental Flux,"Arcane, Stance, Flux",Swift,Self,,,,,,,,"You get a benefit based on your [flux]:
* Lightning: Make a jump as a free action, with a +10 bonus to Athletics.
* Acid: Ignore difficult terrain until the end of your next turn.
* Fire: Your speed increases by +2 until the end of your next turn.
* Cold: Until the end of your next turn, when you charge you can move however you like (not just in a straight line).
* Thunder: Until the end of your next turn, whenever you are subject to unwilling movement you can shift 1 at the end of the move. ",,,
Arcane Shield,You rely on your unique insight into eldritch powers to create a shield of energy that protects you from an attack. ,Utility,Daily,2,Elemental Flux,Arcane,Immediate (Counter),,,,You are hit by an attack.,,,,,Attacker rerolls their attack.,,,
Degrade Resistance,"As a disciple of the Elemental Flux, you understand how to use elements to assault those normally resistant to them.",Utility,Daily,2,Elemental Flux,Arcane,Swift,,,,,,,,,Your attacks ignore the first 5 points of energy resistance.,,Swift,
Eldritch Fang,You fill your strike with eldritch energy that overwhelms the senses of your target. ,Attack,Encounter,3,Elemental Flux,"Arcane, Flux, Weapon",Standard,Melee or Ranged,"weapon, one target",,,Intelligence,Fortitude,2dW + Intelligence modifier [flux] damage and the target is dazed until the end of your next turn.,,,,,
Elemental Strike,You channel the fluctuating power of the elements to land an empowered blow.,Attack,Daily,5,Elemental Flux,"Flux, Arcane, Weapon",Standard,Melee or Ranged,"weapon, one target",,,Intelligence,Fortitude,"2dW + Intelligence modifier [flux] damage, and the target is subject to one of the following based on your flux energy.
* Acid: Weakened (end of your next turn).
* Thunder: Immobile (end of your next turn).
* Fire: Blinded (end of your next turn).
* Cold: Knocked prone.
* Lightning: Dazed (end of your next turn).",Half damage.,,,,
Energy Spark,"You fill the air with elemental energy, which explodes as you strike your target. ",Attack,Daily,5,Elemental Flux,"Flux, Arcane, Focus",Standard,Ranged,10,,,Intelligence,Reflex,3dW + Intelligence modifier [flux] damage,,,,,
Elemental Flux Stance,"Filling both your body and soul with the power of the elements, you open yourself up to new powers. ",Utility,Daily,6,Elemental Flux,"Flux, Arcane, Stance ",Swift,Near,"burst 3, all allies",,,,,,,"Yourself and allies within range get one based on your [flux], until the end of your next turn:
* Lightning: +2 bonus to speed.
* Acid: Ignore the first 1 square of unwilling movement.
* Fire: Heal an additional +1d6 damage each time they would heal.
* Cold: Take a +2 bonus on all saving throws.
* Thunder: One hit on an attack per turn pushes 1.",,,
Lance of Power,"With a swing of your blade, you release a rippling line of elemental energy. ",Attack,Encounter,7,Elemental Flux,"Flux, Arcane, Weapon",Standard,Near,"arc 3, all creatures",,,Intelligence,Fortitude,"1dW + Intelligence modifier [flux] damage and one option based on your flux energy:
* Thunder: Targets are deafened (save ends).
* Lightning: Targets must save or drop what they are holding.
* Fire: Take an additional 1d8 damage.
* Cold: Targets must save or fall prone.
* Acid: Targets are slowed.",,,,,
Raging Flux,You know how to strike with such eldritch force that it drives your foes backwards. ,Attack,Daily,9,Elemental Flux,"Flux, Arcane, Weapon",Standard,Far,"burst 3, all creatures (range 10)",,,Intelligence,Fortitude,3dW + Intelligence modifier [flux] damage.,,"Creates a zone in the area of effect, until the end of the encounter. Creatures that enter the zone take 1d6 + Intelligence modifier [flux] damage. At the beginning of each of your turns, creatures in the zone take 1d6 + your Intelligence modifier [flux] damage. While the zone persists, you can change your flux energy once each turn a creature is damaged by your *raging flux*. ",,,
Assay Resistance,"By directly targeting the elemental essence that suffuses all creatures, you overcome an opponent’s defenses with a powerful attack.",Utility,Encounter,10,Elemental Flux,"Flux, Arcane",Swift,Near,"burst 5, one creature",,,,,,,"You learn the target's resistances, immunities and vulnerabilities. Until the end of your next turn, the target becomes vulnerable to [flux] 5 + your Constitution modifier. ",,,**Level 22:** Targets all creatures in area of effect. Vulnerable 10.
Arcane Torrent,You unleash a sudden burst of eldritch energy that surges towards a distant foe.,Attack,Encounter,13,Elemental Flux,"Flux, Arcane, Weapon",Standard,Near,"arc 3, all creatures",,,Intelligence,Fortitude,2dW + Intelligence modifier [flux] damage and push 3.,,,,,
Energy Hammer,"As you advance your training, you learn to unleash ever more powerful bursts of energy.",Attack,Daily,15,Elemental Flux,"Flux, Arcane, Weapon",Standard,Near,"arc 3, all creatures",,,Intelligence,AC,"2dW + Intelligence modifier [flux] damage and one of the following based on your [flux]: 
* Thunder: Target is deafened and dazed (save ends both).
* Acid: Target takes 5 persistent acid damage (save ends).
* Fire: Target is blinded (save ends). 
* Cold: Target is immobile (save ends).
* Lightning: Target is stunned until the end of your next turn. ","Half damage, no persistent damage.",,,,
Eldritch Consumption,You have such an intimate understanding of the underlying nature of magic that you can capture its essence and feast on it to rejuvenate yourself.,Utility,Encounter,16,Elemental Flux,"Flux, Arcane",Immediate (Counter),Self,,,You take damage from an energy source.,,,,,Spend a recovery to heal your recovery value + your Constitution modifier. You may change your flux energy if you like.,,,
Chaotic Blow,,Attack,Encounter,17,Elemental Flux,"Flux, Arcane, Weapon",Standard,Melee or Ranged,"weapon, one target",,,Intelligence,AC,3dW + Intelligence modifier [flux] damage.,,,,,
Elemental Drive,"You charge your weapon with kinetic and elemental energy, driving them back with a wave of elemental power.",Attack,Daily,19,Elemental Flux,"Flux, Arcane, Weapon",Free,Self,,,You make an attack after a charge.,,,,,"Whether or not you hit, you do an additional 2dW + Intelligence modifier [flux] damage and push them squares equal to your Constitution modifier.",,,
Elemental Absorption,You learn to suffuse your being with an element to such a degree that its presence heals you instead of harming you.,Utility,Daily,22,Elemental Flux,"Flux, Arcane",Immediate (Counter),Self,,,You are about to take energy damage.,,,,,"Set your flux energy to the energy of your choice. Until the end of the encounter, you are immune to [flux] damage, and heal your level + your Constitution modifier each time you are subject to [flux] damage.",,,
Nexus of Elemental Retribution,"You can absorb and redirect the flow of elemental power, syphoning away energies that would harm you and making them your own. ",Utility,Daily,22,Elemental Flux,"Flux, Arcane, Stance ",Swift,Self,,,,,,"You gain resistance 15 to fire, acid, cold, lightning and thunder. Each time you are the target of an attack that does fire, acid, cold, lightning or thunder damage, you can make a basic melee or ranged attack that does additional [flux] damage equal to your Constitution modifier. ",,,,,
Redirecting Flux,Your mastery of the Elemental Flux discipline knows how to read and alter the flow of magical energy.,Utility,Encounter,22,Elemental Flux,"Flux, Arcane",Immediate (Counter),Near,"burst 10, one power",,A creature uses a Near or Far power that targets you and/or an ally.,,,,,"Choose a number of creatures within the area of effect up to your Constitution modifier. Those creatures are no longer targets of the attack. Choose a number of enemies within Near burst 10. Those creatures are targets of the attack, even if they are not within the area of effect. ",,,
Enter the Vortex,"Riding on the currents of elemental energy, you gain the benefit of a new form of movement. ",Attack,Encounter,23,Elemental Flux,"Flux, Arcane, Weapon",Standard,Melee or Ranged,"weapon, one target",,,Intelligence,AC,"2dW + Intelligence modifier [flux] damage, and you get a benefit until the end of the encounter based on your [flux]:
* Fire: Your speed increases by 4, and you get a +4 power bonus to initiative.
* Cold: You get a swim speed of 12. Any time you are subject to unwilling movement, you can instead shift that distance. 
* Thunder: You get a fly speed of 8.
* Lightning: You can teleport 4 as a move action. 
* Acid: You get a burrow speed of 4 and tremorsense 6. ",,,,,
Elemental Vortex,A whirling vortex of elemental energy engulfs your foe just as your blade lands.,Attack,Daily,25,Elemental Flux,"Flux, Arcane, Weapon, Conjuration",Standard,Near,"burst 1, all creatures",,,Intelligence,AC,3dW + Intelligence modifier damage. ,,"You conjure a vortex devil in an adjacent square, which lasts till the end of the encounter. You can shunt the vortex devil up to 6 as a swift action, once per turn. At the end of your turn, enemies adjacent to the vortex demon take 3d10 [flux] damage.",,,
Cascade of Elemental Wrath,"Each slash of your blade releases more and more eldritch power, overwhelming your enemies with the power of your strikes.",Attack,Daily,25,Elemental Flux,"Flux, Arcane, Weapon",Standard,Melee or Ranged,"weapon, one to three targets",,,Intelligence,AC,Three attacks. 2dW + Intelligence modifier damage. You can change your flux energy before each attack. ,,,,,
Zephyr Flux,"Upon reaching supreme levels of understanding in this discipline, you may transmute your entire being into elemental energy and travel in the blink of an eye across the battlefield, leaving a wake of devastation behind you.",Attack,Daily,25,Elemental Flux,"Flux, Arcane, Weapon",Standard,Melee or Ranged,"weapon, multiple targets",,,Intelligence,AC,2dW + Intelligence modifier [flux] damage.,,,"When you use this power, shift up to your speed. Make the attack against any creature you are adjacent to at some point during your shift.",,
